"id","id_prod","precio","precio_promo","fecha_inicio","fecha_fin","vigente"
1,1,1850,0,"28/06/2022","28/06/2022",1
2,2,3400,0,"08/07/2022","08/07/2022",1
3,3,1900,0,"11/06/2022","11/06/2022",1
4,4,1490,0,"09/07/2022","09/07/2022",1
5,5,1200,0,"06/07/2022","06/07/2022",1
6,6,1050,0,"24/06/2022","24/06/2022",1
7,7,1050,0,"24/06/2022","24/06/2022",1
8,8,1500,0,"11/06/2022","11/06/2022",1
9,9,3000,0,"11/06/2022","11/06/2022",1
10,10,1000,0,"11/06/2022","11/06/2022",1
11,11,1500,0,"11/06/2022","11/06/2022",1
12,12,1500,0,"11/06/2022","11/06/2022",1
13,13,4600,0,"28/06/2022","28/06/2022",1
14,14,1200,0,"06/07/2022","06/07/2022",1
15,15,850,0,"11/06/2022","11/06/2022",1
16,16,3000,0,"03/07/2022","03/07/2022",1
17,17,1200,0,"11/06/2022","11/06/2022",1
18,18,1700,0,"11/06/2022","11/06/2022",1
19,19,800,0,"11/06/2022","11/06/2022",1
20,20,800,0,"11/06/2022","11/06/2022",1
21,21,1600,0,"06/07/2022","06/07/2022",1
22,22,1600,0,"11/06/2022","11/06/2022",1
23,23,1600,0,"11/06/2022","11/06/2022",1
24,24,1600,0,"11/06/2022","11/06/2022",1
25,25,1500,0,"11/06/2022","11/06/2022",1
26,26,1500,0,"11/06/2022","11/06/2022",1
27,27,1150,0,"24/06/2022","24/06/2022",1
28,28,1200,0,"11/06/2022","11/06/2022",1
29,29,800,0,"08/07/2022","08/07/2022",1
30,30,900,0,"11/06/2022","11/06/2022",1
31,31,2000,0,"05/07/2022","05/07/2022",1
32,32,1000,0,"04/07/2022","04/07/2022",1
33,33,2000,0,"11/06/2022","11/06/2022",1
34,34,1600,0,"11/06/2022","11/06/2022",1
35,35,1600,0,"11/06/2022","11/06/2022",1
36,36,1700,0,"11/06/2022","11/06/2022",1
37,37,1800,0,"05/07/2022","05/07/2022",1
38,38,600,0,"06/07/2022","06/07/2022",1
39,39,600,0,"06/07/2022","06/07/2022",1
40,40,1500,0,"11/06/2022","11/06/2022",1
41,41,1100,0,"04/07/2022","04/07/2022",1
42,42,1500,0,"12/06/2022","12/06/2022",1
43,43,1500,0,"12/06/2022","12/06/2022",1
44,44,1000,0,"12/06/2022","12/06/2022",1
45,45,1300,0,"12/06/2022","12/06/2022",1
46,46,1300,0,"12/06/2022","12/06/2022",1
47,47,1500,0,"12/06/2022","12/06/2022",1
48,48,1500,0,"12/06/2022","12/06/2022",1
49,49,78042,0,"12/06/2022","12/06/2022",1
50,50,1500,0,"12/06/2022","12/06/2022",1
51,51,2800,0,"12/06/2022","12/06/2022",1
52,52,1500,0,"06/07/2022","06/07/2022",1
53,53,1600,0,"12/06/2022","12/06/2022",1
54,54,1850,0,"04/07/2022","04/07/2022",1
55,55,1850,0,"04/07/2022","04/07/2022",1
56,56,1790,0,"12/06/2022","12/06/2022",1
57,57,2500,0,"12/06/2022","12/06/2022",1
58,58,2500,0,"12/06/2022","12/06/2022",1
59,59,1000,0,"12/06/2022","12/06/2022",1
60,60,1000,0,"12/06/2022","12/06/2022",1
61,61,1000,0,"12/06/2022","12/06/2022",1
62,62,1000,0,"12/06/2022","12/06/2022",1
63,63,1300,0,"04/07/2022","04/07/2022",1
64,64,250,0,"12/06/2022","12/06/2022",1
65,65,250,0,"12/06/2022","12/06/2022",1
66,66,250,0,"12/06/2022","12/06/2022",1
67,67,250,0,"12/06/2022","12/06/2022",1
68,68,250,0,"12/06/2022","12/06/2022",1
69,69,250,0,"12/06/2022","12/06/2022",1
70,70,250,0,"12/06/2022","12/06/2022",1
71,71,250,0,"12/06/2022","12/06/2022",1
72,72,300,0,"12/06/2022","12/06/2022",1
73,73,300,0,"12/06/2022","12/06/2022",1
74,74,300,0,"12/06/2022","12/06/2022",1
75,75,300,0,"12/06/2022","12/06/2022",1
76,76,300,0,"12/06/2022","12/06/2022",1
77,77,5100,0,"05/07/2022","05/07/2022",1
78,78,1200,0,"04/07/2022","04/07/2022",1
79,79,900,0,"12/06/2022","12/06/2022",1
80,80,4100,0,"12/06/2022","12/06/2022",1
81,81,4000,0,"06/07/2022","06/07/2022",1
82,82,0,0,"12/06/2022","12/06/2022",1
83,83,700,0,"12/06/2022","12/06/2022",1
84,84,2000,0,"04/07/2022","04/07/2022",1
85,85,600,0,"04/07/2022","04/07/2022",1
86,86,1400,0,"12/06/2022","12/06/2022",1
87,87,400,333,"24/06/2022","24/06/2022",1
88,88,1950,0,"06/07/2022","06/07/2022",1
89,89,1100,0,"12/06/2022","12/06/2022",1
90,90,1000,0,"04/07/2022","04/07/2022",1
91,91,1000,0,"04/07/2022","04/07/2022",1
92,92,1000,0,"03/07/2022","03/07/2022",1
93,93,1000,0,"06/07/2022","06/07/2022",1
94,94,1000,0,"03/07/2022","03/07/2022",1
95,95,0,0,"12/06/2022","12/06/2022",1
96,96,1000,0,"04/07/2022","04/07/2022",1
97,97,900,0,"04/07/2022","04/07/2022",1
98,98,1700,0,"12/06/2022","12/06/2022",1
99,99,1350,0,"12/06/2022","12/06/2022",1
100,100,2190,0,"12/06/2022","12/06/2022",1
101,101,600,0,"13/06/2022","13/06/2022",1
102,102,600,0,"13/06/2022","13/06/2022",1
103,103,600,0,"13/06/2022","13/06/2022",1
104,104,600,0,"13/06/2022","13/06/2022",1
105,105,1600,0,"06/07/2022","06/07/2022",1
106,106,200,0,"13/06/2022","13/06/2022",1
107,107,2000,0,"30/06/2022","30/06/2022",1
108,108,1200,,"24/06/2022","24/06/2022",1
109,109,1050,,"06/07/2022","06/07/2022",1
110,110,1350,,"24/06/2022","24/06/2022",1
111,111,400,333,"24/06/2022","24/06/2022",1
112,112,1090,,"24/06/2022","24/06/2022",1
113,113,1000,,"24/06/2022","24/06/2022",1
114,114,1690,,"24/06/2022","24/06/2022",1
115,115,1050,,"25/06/2022","25/06/2022",1
116,116,1050,,"25/06/2022","25/06/2022",1
117,117,1050,,"25/06/2022","25/06/2022",1
118,118,1050,,"25/06/2022","25/06/2022",1
119,119,8300,,"25/06/2022","25/06/2022",1
120,120,10500,,"25/06/2022","25/06/2022",1
121,121,11400,,"26/06/2022","26/06/2022",1
122,122,4700,,"26/06/2022","26/06/2022",1
123,123,10500,,"02/07/2022","02/07/2022",1
124,124,4650,,"26/06/2022","26/06/2022",1
125,125,1190,,"26/06/2022","26/06/2022",1
126,126,1060,,"26/06/2022","26/06/2022",1
127,127,3050,,"26/06/2022","26/06/2022",1
128,128,950,,"26/06/2022","26/06/2022",1
129,129,2500,,"26/06/2022","26/06/2022",1
130,130,850,,"26/06/2022","26/06/2022",1
131,131,850,,"26/06/2022","26/06/2022",1
132,132,850,,"26/06/2022","26/06/2022",1
133,133,400,333,"26/06/2022","26/06/2022",1
134,134,400,1000,"26/06/2022","26/06/2022",1
135,135,2500,,"26/06/2022","26/06/2022",1
136,136,1990,,"26/06/2022","26/06/2022",1
137,137,2680,,"26/06/2022","26/06/2022",1
138,138,2850,,"26/06/2022","26/06/2022",1
139,139,3300,,"26/06/2022","26/06/2022",1
140,140,1400,,"26/06/2022","26/06/2022",1
141,141,1350,,"26/06/2022","26/06/2022",1
142,142,2750,,"26/06/2022","26/06/2022",1
143,143,1490,1333,"26/06/2022","26/06/2022",1
144,144,4800,,"26/06/2022","26/06/2022",1
145,145,1500,,"26/06/2022","26/06/2022",1
146,146,1500,,"28/06/2022","28/06/2022",1
147,147,1200,,"28/06/2022","28/06/2022",1
148,148,1200,,"28/06/2022","28/06/2022",1
149,149,1000,,"28/06/2022","28/06/2022",1
150,150,1200,,"28/06/2022","28/06/2022",1
151,151,1500,,"28/06/2022","28/06/2022",1
152,152,3200,,"03/07/2022","03/07/2022",1
153,153,4800,,"04/07/2022","04/07/2022",1
154,154,1000,,"28/06/2022","28/06/2022",1
155,155,1100,,"04/07/2022","04/07/2022",1
156,156,1100,,"04/07/2022","04/07/2022",1
157,157,1100,,"04/07/2022","04/07/2022",1
158,158,3900,,"28/06/2022","28/06/2022",1
159,159,3500,,"28/06/2022","28/06/2022",1
160,160,2000,,"28/06/2022","28/06/2022",1
161,161,1000,,"28/06/2022","28/06/2022",1
162,162,1000,,"28/06/2022","28/06/2022",1
163,163,1000,,"28/06/2022","28/06/2022",1
164,164,1300,,"28/06/2022","28/06/2022",1
165,165,1100,,"29/06/2022","29/06/2022",1
166,166,1200,,"03/07/2022","03/07/2022",1
