"id","cod_operacion","medio_pago","suma_prod","cant_prods","valor_compra","pagado","cambio","procesada","created_at","updated_at"
1,credito,2,1,"[""1""]","$1.500,00","0","0",1,"2022-07-04 15:26:30","2022-07-04 15:26:30"
2,"0",1,3,"[""1"", ""1"", ""1""]","$3.000,00","3.000","$0,00",1,"2022-07-04 15:59:33","2022-07-04 15:59:33"
3,"0000002",2,1,"[""1""]","$1.800,00","0","0",1,"2022-07-04 16:04:58","2022-07-04 16:04:58"
4,"1",1,1,"[""1""]","$2.900,00","2.900","$0,00",1,"2022-07-04 16:38:16","2022-07-04 16:38:16"
5,"000414",2,1,"[""1""]","$1.500,00","0","0",1,"2022-07-04 16:39:53","2022-07-04 16:39:53"
6,"965125",2,2,"[""1"", ""1""]","$2.700,00","0","0",1,"2022-07-04 17:33:10","2022-07-04 17:33:10"
7,"256041",2,1,"[""1""]","$1.500,00","0","0",1,"2022-07-04 17:43:36","2022-07-04 17:43:36"
8,"256041",2,1,"[""1""]","$1.350,00","0","0",1,"2022-07-04 17:45:10","2022-07-04 17:45:10"
9,"930341",2,1,"[""1""]","$1.200,00","0","0",1,"2022-07-04 18:50:23","2022-07-04 18:50:23"
10,"5553577",2,1,"[""1""]","$2.100,00","0","0",1,"2022-07-04 18:56:54","2022-07-04 18:56:54"
12,"358963",2,3,"[""2""]","$2.000,00","0","0",1,"2022-07-04 20:11:05","2022-07-04 20:11:05"
13,"2",1,1,"[""1""]","$1.500,00","2.000","$500,00",1,"2022-07-04 20:28:59","2022-07-04 20:28:59"
14,"103156",2,2,"[""2""]","$2.000,00","0","0",1,"2022-07-04 20:44:22","2022-07-04 20:44:22"
15,"072872",2,3,"[""1"", ""1"", ""1""]","$10.000,00","0","0",1,"2022-07-04 21:08:03","2022-07-04 21:08:03"
16,"3",1,1,"[""1""]","$1.300,00","5.300","$4.000,00",1,"2022-07-04 21:24:41","2022-07-04 21:24:41"
17,"182275",2,2,"[""1"", ""1""]","$2.800,00","0","0",1,"2022-07-05 13:18:58","2022-07-05 13:18:58"
18,"001894",2,2,"[""1"", ""1""]","$1.800,00","0","0",1,"2022-07-05 13:27:38","2022-07-05 13:27:38"
19,"4",1,1,"[""1""]","$500,00","1.000","$500,00",1,"2022-07-05 13:33:50","2022-07-05 13:33:50"
20,"291161",2,1,"[""1""]","$1.800,00","0","0",1,"2022-07-05 13:35:03","2022-07-05 13:35:03"
21,"009890",2,1,"[""1""]","$1.800,00","0","0",1,"2022-07-05 14:31:03","2022-07-05 14:31:03"
22,"5",1,1,"[""1""]","$500,00","1.000","$500,00",1,"2022-07-05 14:43:39","2022-07-05 14:43:39"
23,"6",1,3,"[""2"", ""1""]","$3.200,00","20.000","$16.800,00",1,"2022-07-05 17:53:19","2022-07-05 17:53:19"
24,"7",1,2,"[""1"", ""1""]","$5.200,00","10.000","$4.800,00",1,"2022-07-05 19:30:12","2022-07-05 19:30:12"
25,"8",1,1,"[""1""]","$3.200,00","3.200","$0,00",1,"2022-07-05 20:05:49","2022-07-05 20:05:49"
26,"711376",2,1,"[""1""]","$1.800,00","0","0",1,"2022-07-06 13:20:08","2022-07-06 13:20:08"
27,"9",1,2,"[""1"", ""1""]","$500,00","500","$0,00",1,"2022-07-06 13:23:30","2022-07-06 13:23:30"
28,"945905",2,5,"[""4"", ""1""]","$4.000,00","0","0",1,"2022-07-06 14:15:46","2022-07-06 14:15:46"
29,"10",1,1,"[""1""]","$1.000,00","1.000","$0,00",1,"2022-07-06 16:08:17","2022-07-06 16:08:17"
30,"515062",2,2,"[""1"", ""1""]","$2.500,00","0","0",1,"2022-07-06 16:58:30","2022-07-06 16:58:30"
31,"003331",2,2,"[""1"", ""1""]","$2.200,00","0","0",1,"2022-07-06 17:02:33","2022-07-06 17:02:33"
32,"003331",2,1,"[""1""]","$300,00","0","0",1,"2022-07-06 17:13:24","2022-07-06 17:13:24"
33,"221194",2,1,"[""1""]","$1.500,00","0","0",1,"2022-07-06 18:53:56","2022-07-06 18:53:56"
34,"104777",2,2,"[""1"", ""1""]","$2.700,00","0","0",1,"2022-07-08 13:34:06","2022-07-08 13:34:06"
35,"11",1,1,"[""1""]","$1.500,00","2.000","$500,00",1,"2022-07-08 13:35:37","2022-07-08 13:35:37"
36,"12",1,1,"[""1""]","$600,00","1.000","$400,00",1,"2022-07-08 17:38:55","2022-07-08 17:38:55"
37,"13",1,4,"[""4""]","$3.200,00","5.000","$1.800,00",1,"2022-07-08 18:20:06","2022-07-08 18:20:06"
38,"14",1,1,"[""1""]","$1.000,00","1.000","$0,00",1,"2022-07-08 18:21:14","2022-07-08 18:21:14"
39,"15",1,1,"[""1""]","$600,00","1.000","$400,00",1,"2022-07-08 18:21:46","2022-07-08 18:21:46"
